References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
"c1,c2",2,1ÂµF electrolitic,Wurth Elektronik,860160672002,,,732-9580-1-ND,710860160672002,8399351,,,,
c3,1,1nF,KEMET,C901U102MYWDBA7317,Vishay,A102K15X7RH5TAA,1116PHCT-ND,80C901U102MYWDBAP,8773428,,2440191,,
d1,1,photodiode 5mm,Osram Opto,SFH 203,,,475-2649-ND,720SFH203,247240,,,,
"d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,13",11,led 3mm,Kingbright,L-34QBC-D,Dialight,521-9901-802F,350-2318-ND,6455219901802F,8622872,,,,
d14,1,rgb led 5mm,Kingbright,L-154A4SURKQBDZGW,,,350-5218559F-ND,6455218559F,8614307,,,,
"j1,j2,j3,j4,j5",5,audio jack 90 degree 3 pin,RS Pro,9131009,,,,,9131009,,,,
R1,1,10ohm,TE Connectivity,LR1F10R,,,A105948CT-ND,279LR1F10R,1251154,,,,
"r3,r4,r6,r7,r8,r9",6,100ohm,TE Connectivity,LR1F100R,,,A105946CT-ND,279LR1F100R,1251155,,,,
"r2,r5",2,10kohm,TE Connectivity,CFR25J10K,,,A105985CT-ND,279CFR25J10K,131378,,,,
"rv1,rv2,rv3,rv4,rv5,rv6,rv7",7,detented potentiometer,Bourns,PTV09A-4225F-B103,,,PTV09A-4225F-B103-ND,652PTV09A4225FB103,8274990,,,,
sw1,1,mode switch,TE Connectivity,3-1825910-1,,,450-1643-ND,506FSM16JH,4791463,,,,
sw2,1,reset button switch,Omron,B3F-3120,,,SW407-ND,653B3F3120,6866884,,,,
u1,1,esp32,,,,,,,,,,,
"u2,u3",1,MCP3208-B,Microchip,MCP3208-BI/P,,,,579MCP3208BI/P,3792487,,1863934,,
,2,support for mcp3208 chips,ASSMANN WSW Components,A 16-LC-TT,,,AE9992-ND,,6742432,,,,
,1,,Bourns,,,,,,,,,,
